race,kategori,rekomendasi,gambar,style,price,gender,Inspo
asian,"Caps, Shirt, Chinos, Sneakers","Nike Sportswear Heritage 86, AIRism Pique Short Sleeve Pol, Asos Chinos Light Grey, Sneakers Nike Air Force 1","nike-sportswear-heritage-86-futura-washed-cap.jpg, pique-short-sleeve-polo-shirt.jpg, asos-chinos-light-grey.jpg, nike-air-force-1-sneaker.jpg",Casual,"249000, 299000, 303206, 1549000",Man,
asian,"Hoodie, Jogger Pants, Shoes","Niepce HTGY Hoodie Urban,  Stoota Jogger Pants, Adidas Oznova Shoes","niepce-htgy-hoodie-urban.jpg, stoota-jogger-pants.jpg, adidas-oznova.jpg",Streetwear,"1289000, 207000, 1235000",Man,https://urbxn-techwear.com/wp-content/uploads/2021/11/cyberpunk-techwear-hoodie-4.jpg
asian,"Suit, T-Shirt, Pants, Shoes","Dusty Rose Slim Fit Suit, Baige Tshirt, Dusty Rose Slim Fit Pants, Tuxedo Shoes Patent Leather Black Round Toe","dusty-rose-slim-fit-suit.jpg, beige-tshirt.jpg, dusty-rose-slim-fit-pants.jpg, tuxedo-shoes-patent-leather-black-round-toe.jpg",Formal,"3000000, 150000, 600000, 900000",Man,https://www.shutterstock.com/image-photo/portrait-korean-asian-handsome-smile-600w-2103287651.jpg
asian,"Top, T-Shirt, Pants, Shoes ","Balenciaga Single-Breasted Blazer, Grey T-Shirt, Military-Code Cargo Pants, Black Leather Shoes","balenciaga-singlebreasted-blazer.jpg, grey-tshirt.jpg, militarycode-cargo-pants.jpg, black-leather-shoes.jpg",Casual,"13000000, 300000, 2000000, 1000000",Man,https://www.instagram.com/p/CrqMzeCLEjq/?hl=en
asian,"Top, Pants, Shoes","Double Patchwork I-Tech Tee, Summer Casual Straight-Leg Hip-Hop Grey Sweatpants, Shoes Vintage Blue Converse","double-patchwork-itech-tee.jpg, summer-casual-straightleg-hiphop-grey-sweatpants.jpg, vintage-blue-converse.jpg",Casual,"600000, 700000, 799000",Woman,https://www.instagram.com/p/CsYodErva3K/?hl=en
asian,"Necklace, T-Shirt, Pants, Shoes","Jace Necklace, Oversized Linen Mix T-Shirt, Ken Jersey Trackpants, Velosamba Vegan Cycling Shoes White","jace-necklace.jpg, oversized-linen-mix-t-shirt.jpg, ken-jersey-trackpants.jpg, adidas-velosamba-vegan-cycling-shoes.jpg",Casual,"320000, 370000, 820000, 2000000",Man,"https://lp.weekday.com/app003prod?set=key[resolve.pixelRatio],value[1]&set=key[resolve.width],value[675]&set=key[resolve.height],value[10000]&set=key[resolve.imageFit],value[containerwidth]&set=key[resolve.allowImageUpscaling],value[0]&set=key[resolve.format],value[jpeg]&set=key[resolve.quality],value[90]&set=source[/90/24/90244de02c96a0e387b1df679f2c9d0bd901746b.jpg],origin[dam],type[LOOKBOOK],ImageVersion[1]&call=url[file:/product/dynamic.chain]"
asian,"Necklace, Shirt, Jeans, Boots","Jace Necklace, Regular Printed Shirt, Arrow Low Heavy Stitching, Round Toe Zippers Boots Short Ankle Boot","jace-necklace.jpg, regular-printed-shirt.jpg, arrow-low-heavy-stitching.webp, round-toe-zippers-boots-short-ankle-boot.webp",Formal,"320000 ,900000, 500000, 800000",Woman,"https://lp.weekday.com/app003prod?set=key%5Bresolve.pixelRatio%5D,value%5B1%5D&set=key%5Bresolve.width%5D,value%5B1500%5D&set=key%5Bresolve.height%5D,value%5B10000%5D&set=key%5Bresolve.imageFit%5D,value%5Bcontainerwidth%5D&set=key%5Bresolve.allowImageUpscaling%5D,value%5B0%5D&set=key%5Bresolve.format%5D,value%5Bwebp%5D&set=key%5Bresolve.quality%5D,value%5B90%5D&set=ImageVersion%5B1%5D,origin%5Bdam%5D,source%5B%2F7a%2Fa5%2F7aa50243237f6bfe5f3232cbb9a93acc3d7afd99.jpg%5D,type%5BLOOKBOOK%5D&call=url%5Bfile%3A%2Fproduct%2Fdynamic.chain%5D"
asian,"Top, Shirt, Pants, Shoes","Ramie Linen Cotton Women Long Blouse, White T-Shirt, White High-Waisted Wide-Leg Trousers, White Sneakers","ramie-linen-cotton-women-long-blouse.jpg, white-tshirt.jpg, white-high-waisted-wide-legged-trousers.jpg, white-sneakers.jpg",Casual,"1000000, 219000, 400000",Woman,https://istorist.de/da/products/ramie-linen-cotton-women-long-blouse-212099h
asian,"Shirt, Jeans, Shoes","Casual Style Unisex Street Style Long Sleeves Plain Cotton, Hip-hop Baggy Jeans, Adidas Superstar Sneakers","casual-style-unisex-street-style-long-sleeves-plain-cotton.jpg, hiphop-baggy-jeans.jpg, adidas-superstar-sneakers.jpg",Casual,"200000, 250000, 180000",Man,https://www.buyma.us/items/28daf632-e382-4ffc-967d-56cd6a577442/
asian,"Hoodie, Skirt, Shoes","Women Beige Cotton Hoodie, Cotton Flared Midi Skirt, Concave White Sneakers","women-beige-cotton-hoodie.jpg, cotton-flared-midi-skirt.jpg, concave-white-sneakers.jpg",Casual,"200000, 300000, 400000",Woman,https://www.instagram.com/p/CsyzqfVNuLg/?hl=en
asian,"T-Shirt, Jeans, Shoes","Fine Black T-Shirt, Astro Loose Baggy Jeans, Adidas Superstar Original Black Campaign","fine-tshirt.jpg, astro-loose-baggy-jeans.jpg, adidas-superstar-original-black-campaign.jpg",Casual,"350000, 1000000, 1200000",Woman,"https://lp.weekday.com/app003prod?set=key[resolve.pixelRatio],value[]&set=key[resolve.width],value[475]&set=key[resolve.height],value[10000]&set=key[resolve.imageFit],value[containerwidth]&set=key[resolve.allowImageUpscaling],value[0]&set=key[resolve.format],value[jpeg]&set=key[resolve.quality],value[90]&set=source[/08/e2/08e23e7d32b75b60c1a8384cec295f95b6bfebe7.jpg],origin[dam],type[LOOKBOOK],ImageVersion[1]&call=url[file:/product/dynamic.chain]"
asian,"Sunglasses, Jacket, Jeans, Shoes","Rush Sunglasses, Billie MC Jacket, Astro Loose Baggy Jeans, Ankle Boots","rush-sunglasses.jpg, billie-mc-jacket.jpg, astro-loose-baggy-jeans.jpg, ankle-boots.jpg",Street,"600000, 1700000, 1000000, 800000",Woman,https://lp.weekday.com/app003prod?set=format%5Bwebp%5D%2Cquality%5B79%5D%2Csource%5B%2F28%2F1e%2F281e1e26edbb0e5c36b0d7e3867a2a28eab4b214.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5B%5D%2Ctype%5BLOOKBOOK%5D%2Cres%5Bm%5D%2Chmver%5B1%5D%2Ctarget%5Bhm.com%5D&call=url%5Bfile%3A%2Fproduct%2Fmain%5D
asian,"Cap, Sunglasses, Hoodie, Shorts","Essential Cotton Cap, Rush Sunglasses, Oversized Zip Hoodie, Essence Bike Shorts","essential-cotton-cap.jpg, rush-sunglasses.jpg, oversized-zip-hoodie.jpg, essence-bike-shorts.jpg",Casual,"350000, 600000, 890000, 250000",Woman,https://lp.weekday.com/app003prod?set=quality%5B79%5D%2Csource%5B%2Ff8%2F5f%2Ff85f0c5a9dece5c2ac61985a16c8233c3a252406.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5B%5D%2Ctype%5BLOOKBOOK%5D%2Cres%5Bm%5D%2Chmver%5B1%5D%2Ctarget%5Bhm.com%5D&call=url[file:/product/main]
asian,"Blouse, Trousers, Boots","Mira Black Blouse, Ila Slim Cargo Trousers, Round Toe Zippers Short Ankle Boots","mira-blouse.jpg, ila-slim-cargo-trousers.jpg, round-toe-zippers-boots-short-ankle-boot.jpg",Formal,"700000, 1200000, 800000",Woman,"https://lp.weekday.com/app003prod?set=key%5Bresolve.pixelRatio%5D,value%5B1%5D&set=key%5Bresolve.width%5D,value%5B1500%5D&set=key%5Bresolve.height%5D,value%5B10000%5D&set=key%5Bresolve.imageFit%5D,value%5Bcontainerwidth%5D&set=key%5Bresolve.allowImageUpscaling%5D,value%5B0%5D&set=key%5Bresolve.format%5D,value%5Bwebp%5D&set=key%5Bresolve.quality%5D,value%5B90%5D&set=ImageVersion%5B1%5D,origin%5Bdam%5D,source%5B%2Fe8%2F78%2Fe87885cc6f856d9d684544a68b9ff8e2846f6597.jpg%5D,type%5BLOOKBOOK%5D&call=url%5Bfile%3A%2Fproduct%2Fdynamic.chain%5D"
asian,"Shirt, Jeans, Shoes","Align Lyocell Shirt, Astro Loose Baggy Jeans, Penny Loafers Patent Square Toe Shoes","align-lyocell-shirt.jpg, astro-loose-baggy-jeans.jpg, penny-loafers-patent-square-toe-shoes.jpg",Formal,"800000, 1000000, 250000",Woman,"https://lp.weekday.com/app003prod?set=key%5Bresolve.pixelRatio%5D,value%5B1%5D&set=key%5Bresolve.width%5D,value%5B500%5D&set=key%5Bresolve.height%5D,value%5B10000%5D&set=key%5Bresolve.imageFit%5D,value%5Bcontainerwidth%5D&set=key%5Bresolve.allowImageUpscaling%5D,value%5B0%5D&set=key%5Bresolve.format%5D,value%5Bwebp%5D&set=key%5Bresolve.quality%5D,value%5B90%5D&set=ImageVersion%5B1%5D,origin%5Bdam%5D,source%5B%2Fef%2Fdf%2Fefdf100132ba31880fa1807eecf1c072c996fe21.jpg%5D,type%5BLOOKBOOK%5D&call=url%5Bfile%3A%2Fproduct%2Fdynamic.chain%5D"
asian,"Hat Piece, Shirt, Sarong, Sandals","Udeng Bali, Balinese Safari Shirt, Kamen Saput Balinese Sarung, Bata Sandals","udeng-bali.jpg, balinese-safari-shirt.jpg, kamen-saput-balinese.jpg, bata-sandals.jpg",Vintage,"50000, 150000, 120000, 250000",Man,https://i.pinimg.com/736x/4c/72/1b/4c721bcc28a692f49cbd06aa92c687d2--street-snap-folk-style.jpg
asian,"Jacket, Pants, Turtleneck","Vintage Mexican Artwear Jacket, White Slim Fit Pants, White Turtleneck","vintage-mexican-artwear-jacket.jpg, white-slim-fit-pants.jpg, white-turtleneck.jpg",Bohemian,"5200000, 500000, 200000",Man,https://www.shutterstock.com/image-photo/three-friends-boho-style-clothes-260nw-2146794965.jpg
asian,"Cap, T-Shirt, Pants, Socks, Sneakers","Black Norton Caps, Pocket Boxy Cut Oversized Grey T-Shirt, Teflon Switchable Cover Pants, Long Black Nike Shoes, Nike EXP X14 Just Do It Pack Black","black-norton-caps.jpg, pocket-boxy-cut-oversized-grey-tshirt.jpg, teflon-switchable-cover-pants.jpg, long-black-nike-shoes.jpg, black-norton-caps.jpg",Street,"370000, 65000, 5000000, 150000, 2500000",Man,https://pbs.twimg.com/media/Dh8C7J3XcAACtNQ.jpg:large
asian,"Waistcoat, Shirt, Tie, Chino, Shoes","Camel Hair Herringbone Jumper Waistcoat, Gingham Brown Shirt, Brown Tie, Uniqlo Black Chino Skinny Fit, Black Pantofel","camel-hair herringbone-jumper-waistcoat.jpg, gingham-brown-shirt.jpg, brown-tie.jpg, uniqlo-black-chino-skinny-fit.jpg, black-pantofel.jpg",Vintage,"5000000, 800000, 220000, 600000, 1000000",Man,https://media.istockphoto.com/id/1141636771/photo/portrait-of-a-handsome-chinese-young-man-with-korean-style-clothes-walking-on-street-in-hurry.jpg?s=612x612&w=0&k=20&c=lpTlb9A2_DEaCCHC7v3X9cCuW4pZ--FDMIpG-EiI0Gs=
asian,"T-Shirt, Jeans, Shoes","White T-Shirt, Astro Loose Baggy Jeans, Adidas Velosamba Vegan Cycling Shoes","white-tshirt.jpg, astro-loose-baggy-jeans.jpg, adidas-velosamba-vegan-cycling-shoes.jpg",Casual,"150000, 890000, 1600000",Woman,
